CustomerID,recency,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_Segment
CUST0078,166,3,70.13,6,5,7,18,Promising
CUST0149,205,4,61.65,4,7,7,18,Promising
CUST0201,111,3,26.67,9,6,3,18,Promising
CUST0233,140,3,61.04,7,5,6,18,Promising
CUST0021,147,3,57.05,7,5,6,18,Promising
CUST0096,214,3,95.009999999999991,4,5,9,18,Promising
CUST0118,129,4,46.04,7,7,4,18,Promising
CUST0188,200,5,60.470000000000013,4,8,6,18,Promising
CUST0208,155,3,61.43,6,5,7,18,Promising
CUST0146,210,4,64.99,4,7,7,18,Promising
CUST0214,121,4,29.380000000000003,8,7,3,18,Promising
CUST0170,190,4,62.589999999999996,4,7,7,18,Promising
CUST0002,160,4,53.9,6,7,5,18,Promising
CUST0160,169,4,59.02,5,7,6,18,Promising
CUST0278,100,2,27.89,10,4,3,17,Promising
CUST0173,187,4,52.510000000000005,5,7,5,17,Promising
CUST0133,197,4,57.97,4,7,6,17,Promising
CUST0169,117,2,53.61,8,4,5,17,Promising
CUST0095,119,3,31.410000000000004,8,6,3,17,Promising
CUST0181,148,4,34.24,7,7,3,17,Promising
CUST0195,168,4,52.35,5,7,5,17,Promising
CUST0036,175,3,72.06,5,5,7,17,Promising
CUST0246,133,3,37.870000000000005,7,6,4,17,Promising
CUST0067,125,2,50.21,8,4,5,17,Promising
CUST0080,222,3,80.93,4,5,8,17,Promising
CUST0284,156,2,71.95,6,3,7,16,Promising
CUST0010,184,4,35.17,5,7,4,16,Promising
CUST0165,278,4,85.339999999999989,2,6,8,16,Promising
CUST0137,166,4,34.400000000000006,6,7,3,16,Promising
CUST0274,199,3,71.960000000000008,4,5,7,16,Promising
CUST0222,161,4,30.69,6,7,3,16,Promising
CUST0132,236,4,65.009999999999991,3,6,7,16,Promising
CUST0047,278,4,90.01,2,6,8,16,Promising
CUST0141,194,5,35.08,4,8,4,16,Promising
CUST0034,102,2,15.89,10,4,2,16,Promising
CUST0218,179,3,59.46,5,5,6,16,Promising
CUST0287,185,4,40.15,5,7,4,16,Promising
CUST0113,138,3,36.65,7,5,4,16,Promising
CUST0037,147,3,40.36,7,5,4,16,Promising
CUST0022,168,3,50.93,6,5,5,16,Promising
CUST0064,178,3,49.8,5,5,5,15,Engaged
CUST0136,187,3,52.02,5,5,5,15,Engaged
CUST0128,187,3,53.66,5,5,5,15,Engaged
CUST0199,213,4,41.640000000000008,4,7,4,15,Engaged
CUST0235,158,2,54.569999999999993,6,3,6,15,Engaged
CUST0231,219,3,55.25,4,5,6,15,Engaged
CUST0292,224,3,69.42,3,5,7,15,Engaged
CUST0038,215,4,44.35,4,7,4,15,Engaged
CUST0168,202,3,58.050000000000004,4,5,6,15,Engaged
CUST0046,333,4,65.58,2,6,7,15,Engaged
CUST0050,134,3,32.49,7,5,3,15,Engaged
CUST0204,130,3,20.82,7,6,2,15,Engaged
CUST0126,109,2,20.42,9,4,2,15,Engaged
CUST0125,156,3,41.379999999999995,6,5,4,15,Engaged
CUST0123,221,3,59.819999999999993,4,5,6,15,Engaged
CUST0066,167,2,56.19,6,3,6,15,Engaged
CUST0044,109,2,10.379999999999999,9,4,1,14,Engaged
CUST0193,292,4,58.099999999999994,2,6,6,14,Engaged
CUST0085,145,2,41.95,7,3,4,14,Engaged
CUST0041,352,4,63.980000000000004,1,6,7,14,Engaged
CUST0265,165,2,50.75,6,3,5,14,Engaged
CUST0219,164,2,47.76,6,3,5,14,Engaged
CUST0020,252,4,52.31,3,6,5,14,Engaged
CUST0254,116,2,21.060000000000002,8,4,2,14,Engaged
CUST0088,116,2,21.91,8,4,2,14,Engaged
CUST0023,251,3,62.489999999999995,3,4,7,14,Engaged
CUST0241,194,3,51.7,4,5,5,14,Engaged
CUST0086,199,4,30.27,4,7,3,14,Engaged
CUST0275,126,2,27.740000000000002,8,3,3,14,Engaged
CUST0087,305,4,57.609999999999992,2,6,6,14,Engaged
CUST0183,239,2,76.81,3,3,8,14,Engaged
CUST0103,124,2,22.2,8,4,2,14,Engaged
CUST0164,260,4,52.290000000000006,3,6,5,14,Engaged
CUST0100,126,2,18.39,8,4,2,14,Engaged
CUST0134,261,4,53.769999999999996,3,6,5,14,Engaged
CUST0101,334,3,70.75,2,4,7,13,Engaged
CUST0299,165,2,36.3,6,3,4,13,Engaged
CUST0200,165,2,45.68,6,3,4,13,Engaged
CUST0221,132,2,30.95,7,3,3,13,Engaged
CUST0019,225,3,50.73,3,5,5,13,Engaged
CUST0268,372,3,80.47,1,4,8,13,Engaged
CUST0266,252,4,37.730000000000004,3,6,4,13,Engaged
CUST0263,248,3,57.67,3,4,6,13,Engaged
CUST0232,122,2,9.9400000000000013,8,4,1,13,Engaged
CUST0297,165,2,41.12,6,3,4,13,Engaged
CUST0228,225,4,37.58,3,6,4,13,Engaged
CUST0174,198,2,55.1,4,3,6,13,Engaged
CUST0072,352,5,41.33,1,8,4,13,Engaged
CUST0156,424,3,72.32,1,4,8,13,Engaged
CUST0122,215,3,45.870000000000005,4,5,4,13,Engaged
CUST0192,206,3,33.650000000000006,4,5,3,12,Engaged
CUST0065,146,2,23.78,7,3,2,12,Engaged
CUST0115,258,3,52.66,3,4,5,12,Engaged
CUST0058,295,2,83.66,2,2,8,12,Engaged
CUST0142,170,2,40.78,5,3,4,12,Engaged
CUST0075,294,3,60.87,2,4,6,12,Engaged
CUST0206,343,3,63.080000000000005,1,4,7,12,Engaged
CUST0052,207,2,52.57,4,3,5,12,Engaged
CUST0171,237,3,37.59,3,5,4,12,Engaged
CUST0127,127,2,23.58,7,3,2,12,Engaged
CUST0079,183,2,38.49,5,3,4,12,Engaged
CUST0211,155,2,21.21,6,3,2,11,Requires Attention
CUST0273,352,3,55.45,1,4,6,11,Requires Attention
CUST0180,124,1,12.12,8,2,1,11,Requires Attention
CUST0109,123,1,8.01,8,2,1,11,Requires Attention
CUST0185,173,2,32.3,5,3,3,11,Requires Attention
CUST0105,154,2,19.49,6,3,2,11,Requires Attention
CUST0013,168,2,30.9,5,3,3,11,Requires Attention
CUST0290,392,2,69.789999999999992,1,2,7,10,Requires Attention
CUST0298,207,2,28.03,4,3,3,10,Requires Attention
CUST0225,260,3,24.72,3,4,3,10,Requires Attention
CUST0281,357,3,47.22,1,4,5,10,Requires Attention
CUST0279,132,1,5.19,7,2,1,10,Requires Attention
CUST0209,305,3,41.0,2,4,4,10,Requires Attention
CUST0207,184,2,22.57,5,3,2,10,Requires Attention
CUST0129,305,3,46.099999999999994,2,4,4,10,Requires Attention
CUST0249,261,2,49.29,3,2,5,10,Requires Attention
CUST0182,268,3,33.46,3,4,3,10,Requires Attention
CUST0110,251,2,52.1,3,2,5,10,Requires Attention
CUST0217,244,3,33.95,3,4,3,10,Requires Attention
CUST0286,180,2,15.41,5,3,2,10,Requires Attention
CUST0107,286,3,29.130000000000003,2,4,3,9,Requires Attention
CUST0053,179,2,13.86,5,3,1,9,Requires Attention
CUST0259,407,2,59.36,1,2,6,9,Requires Attention
CUST0300,274,2,48.06,2,2,5,9,Requires Attention
CUST0272,155,1,4.37,6,1,1,8,Requires Attention
CUST0247,220,2,11.96,4,3,1,8,Requires Attention
CUST0163,374,3,29.840000000000003,1,4,3,8,Requires Attention
CUST0121,276,2,44.730000000000004,2,2,4,8,Requires Attention
CUST0045,240,2,23.240000000000002,3,3,2,8,Requires Attention
CUST0024,233,2,16.66,3,3,2,8,Requires Attention
CUST0068,307,2,40.29,2,2,4,8,Requires Attention
CUST0276,374,2,48.74,1,2,5,8,Requires Attention
CUST0071,175,1,13.79,5,1,1,7,At Risk
CUST0191,223,1,16.14,4,1,2,7,At Risk
CUST0016,335,2,39.26,1,2,4,7,At Risk
CUST0144,243,2,16.04,3,2,2,7,At Risk
CUST0033,186,1,5.71,5,1,1,7,At Risk
CUST0260,246,1,33.6,3,1,3,7,At Risk
CUST0187,287,2,33.97,2,2,3,7,At Risk
CUST0234,248,2,22.16,3,2,2,7,At Risk
CUST0056,185,1,10.48,5,1,1,7,At Risk
CUST0238,328,1,34.88,2,1,4,7,At Risk
CUST0240,177,1,12.43,5,1,1,7,At Risk
CUST0155,272,2,33.09,2,2,3,7,At Risk
CUST0124,345,2,27.5,1,2,3,6,At Risk
CUST0196,308,2,23.36,2,2,2,6,At Risk
CUST0190,331,1,33.44,2,1,3,6,At Risk
CUST0057,269,1,24.63,3,1,2,6,At Risk
CUST0054,253,2,14.21,3,2,1,6,At Risk
CUST0283,198,1,5.6,4,1,1,6,At Risk
CUST0244,346,2,33.430000000000007,1,2,3,6,At Risk
CUST0151,322,2,21.74,2,2,2,6,At Risk
CUST0162,292,2,14.67,2,2,2,6,At Risk
CUST0097,334,2,32.73,1,2,3,6,At Risk
CUST0032,294,1,14.27,2,1,2,5,At Risk
CUST0256,266,1,4.12,3,1,1,5,At Risk
CUST0140,367,1,27.37,1,1,3,5,At Risk
CUST0194,382,2,19.810000000000002,1,2,2,5,At Risk
CUST0184,312,2,9.69,2,2,1,5,At Risk
CUST0074,335,2,20.810000000000002,1,2,2,5,At Risk
CUST0018,292,1,22.09,2,1,2,5,At Risk
CUST0186,360,2,17.36,1,2,2,5,At Risk
CUST0189,417,1,17.08,1,1,2,4,At Risk
CUST0112,270,1,11.81,2,1,1,4,At Risk
CUST0116,292,1,4.38,2,1,1,4,At Risk
CUST0028,274,1,4.86,2,1,1,4,At Risk
CUST0280,355,2,11.09,1,2,1,4,At Risk
CUST0197,285,1,4.26,2,1,1,4,At Risk
CUST0205,283,1,5.19,2,1,1,4,At Risk
CUST0138,336,1,15.44,1,1,2,4,At Risk
CUST0255,412,1,11.89,1,1,1,3,Lost/Inactive
CUST0094,394,1,11.82,1,1,1,3,Lost/Inactive
CUST0031,432,1,9.42,1,1,1,3,Lost/Inactive
CUST0043,380,1,12.17,1,1,1,3,Lost/Inactive
CUST0203,416,1,8.8,1,1,1,3,Lost/Inactive
CUST0167,407,1,10.17,1,1,1,3,Lost/Inactive
CUST0258,411,1,12.22,1,1,1,3,Lost/Inactive
